Ref.no.,Sex,Age,bodyL,bodyM,boneM
1041,M,0,1.26,0.019,0.00076
1087,M,0,0.99,0.0085,0.0004638
1220,M,0,1.17,,0.00078
1282,F,0,1.45,,0.0011945
975,M,1,1.48,,0.0014016
1073,M,2,1.71,0.058,0.001997
1081,M,2,1.74,0.055,0.0019619
1226,F,2,1.63,0.047,0.0018567
987,M,3,1.65,,0.0019273
998,M,3,1.77,,0.0021653
1102,F,3,1.77,0.066,0.0022949
1194,M,3,1.8,0.065,0.00265434
1242,M,3,1.87,0.063,0.0021594
1244,M,3,1.8,0.06,0.0019431
1280,M,3,1.84,0.07,0.0021208
1286,M,3,1.79,,0.0023347
1570,M,3,1.43,0.03,0.0013038
1065,F,4,1.89,,0.0024306
1213,M,4,1.73,0.072,0.0025268
1113,M,5,1.94,0.071,0.0034219
1173,M,5,1.75,,0.0022144
1611,F,5,1.98,0.09,0.0031971
1521,M,6,2.2,0.072,0.0034152
1650,F,6,1.7,0.048,0.0019163
1064,M,7,1.8,,0.002281
1114,F,7,1.87,0.062,0.0025259
1192,M,7,1.87,,0.0024941
1552,M,7,1.77,0.053,0.0018781
1056,M,8,1.95,0.056,0.0025714
1649,F,8,1.96,0.096,0.0030024
1669,M,8,1.9,0.0805,0.0027607
953,F,9,1.99,,0.0029249
1083,F,9,1.87,0.059,0.0029174
1276,F,9,2.01,0.0825,0.0030294
1520,M,11,2.1,0.078,0.0033116
1078,F,12,2.04,0.078,0.0032044
1149,M,12,2.15,,0.0040757
1167,F,12,2.08,0.111,0.003415
1191,M,13,2.2,,0.0047484
1235,F,13,1.71,0.053,0.0021408
1186,F,14,2,0.081,0.0033634
1505,F,14,2.02,0.09,0.0037101
963,M,15,2.28,,0.0039902
1079,F,15,2.11,0.1065,0.0034253
1196,F,15,1.95,0.067,0.0025235
1503,F,15,2.15,0.086,0.0030776
1039,F,16,2.04,0.075,0.0033232
1278,M,16,2.23,0.13,0.0045537
957,F,17,2.12,,0.0034981
1068,F,17,1.99,,0.0031129
1221,M,18,2.1,,0.0038553
1260,F,18,2.02,0.086,0.0030365
1162,F,20,2.08,,0.0036949
1012,F,21,1.98,,0.0029705
1169,F,22,1.95,0.11,0.0029879
1281,M,22,2.22,,0.0047495
1265,F,23,2.08,0.083,0.0037599
1126,F,24,1.98,0.098,0.0029987
1237,F,26,1.99,0.093,0.0032026
1541,F,27,2.06,0.086,0.0031678
1290,F,28,2.1,,0.0035431
