"","volume [voxel]","area [pixel^2]","volume [m^3]","area [m^2]","mass.freshwater (kg)","mass.1.027 (kg)"
"Body_n=2",407664128,3686343.6,87.3547484,132.00341,87354.748,89713.327
"Body_n=2.3",428052352,3787575.5,91.723561,135.6284,91723.561,94200.097
"Caudal_fin",1024176.1,208291.4,0.2194617,7.45866,219.462,225.387
"Dorsal_fin",NA,NA,NA,NA,NA,NA
"Forefin_R",187563.5,42377.1,0.0401913,1.51747,40.191,41.276
"Forefin_L",187563.5,42377.1,0.0401913,1.51747,40.191,41.276
"HinDfin_R",18849.2,5515.1,0.004039,0.19749,4.039,4.148
"HinDfin_L",18849.2,5515.1,0.004039,0.19749,4.039,4.148
"2nd_Dorsal_Fin",NA,NA,NA,NA,NA,NA
"Anal_Fin",NA,NA,NA,NA,NA,NA
"Cephalofoil",NA,NA,NA,NA,NA,NA
"Total_n=2",409101129.4,3990419.3,87.6626708,142.89199,87662.671,90029.563
"Total_n=2.3",429489353.4,4091651.2,92.0314834,146.51698,92031.483,94516.333
"Total_mean",419295241.4,4041035.3,89.8470771,144.70448,89847.077,92272.948
