ID_or_Date,Species,grp1,grp2,Sex,Pregnant,Bone,Geography,bodyL,bodyM,boneM,Source,
N.No.113.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,24.9936,87.64,15.38,Nishiwaki (1950),
N.No.1148.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,Y,wet,U,25.2984,110.209,17.16,Nishiwaki (1950),
H.No.271.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,Y,wet,U,25.2984,96.494,19.906,Nishiwaki (1950),
H.No. 281.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,24.0792,76.277,14.45,Nishiwaki (1950),
N.No. 207.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,Y,wet,U,25.2984,94.23,16.98,Nishiwaki (1950),
N.No. 210.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,21.336,56.71,10.79,Nishiwaki (1950),
H.No.325.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,23.4696,70.061,13.614,Nishiwaki (1950),
N.No. 233.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,24.6888,84.05,15.01,Nishiwaki (1950),
N.No.230.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,23.7744,68.92466586,11.98,Nishiwaki (1950),
H.No.367.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,23.1648,63.07047619,12.595,Nishiwaki (1950),
H.No.239.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,22.2504,56.47877013,10.83,Nishiwaki (1950),
N.no.247.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,22.86,68.96301668,12.75,Nishiwaki (1950),
N.no.279.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,23.1648,77.62762763,11.93,Nishiwaki (1950),
H.No.435.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,25.2984,93.48324141,20.08,Nishiwaki (1950),
N.No.280.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,22.5552,77.41027445,11.1,Nishiwaki (1950),
H.No.438.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,25.2984,107.8121376,19.607,Nishiwaki (1950),
N.No.319.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,27.1272,127.544,17.54,Nishiwaki (1950),
N.No.337.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,22.5552,55.3306,10.21,Nishiwaki (1950),
H.No.631.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,23.1648,77.425,13.299,Nishiwaki (1950),
N.No.411.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,26.2128,108.62,16.26,Nishiwaki (1950),
N.no.415.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,23.4696,97.63,14.64,Nishiwaki (1950),
H.No.734.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,22.86,86.267,16.734,Nishiwaki (1950),
H.No.736.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,22.2504,62.328,11.261,Nishiwaki (1950),
H.No. 742.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,23.4696,82.289,13.671,Nishiwaki (1950),
RN.no.462.B.F,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,26.8224,113.7454545,17.31,Nishiwaki (1950),
H.No.745.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,23.1648,84.28690229,13.832,Nishiwaki (1950),
N.No.471.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,24.384,85.35335042,14.87,Nishiwaki (1950),
H.No.819.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,24.9936,94.97111913,16.665,Nishiwaki (1950),
H.No.827.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,25.2984,99.3445122,16.644,Nishiwaki (1950),
H.No.831.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,24.6888,95.42429907,15.8,Nishiwaki (1950),
H.No.79.B.M.,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,24.6888,76.92545384,16.691,Nishiwaki (1950),
H.No.831.B.F.,Balaenoptera_musculus,Blue_wet,Blue,F,N,wet,U,24.9936,99.71041056,16.235,Nishiwaki (1950),
1208,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,25.2984,109.93,20.551,Ohno and Fujino (1952),
961,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,23.7744,79.254,12.338,Ohno and Fujino (1952),
,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,20.3,48.91,9.43,Ash (1952) in Lockyer (1976),
,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,27.6,190,26,Voronin (1948) in Tomlin (1967) in Lockyer (1976,
,Balaenoptera_musculus,Blue_wet,Blue,M,N,wet,U,27.1,136.4,18.49,Winston (1950) in Tomlin (1967) in Lockyer (1976,
,Balaenoptera_musculus,Blue_wet,Blue,F,Y,wet,U,27.2,122,22.28,Laurie (1933) in Lockyer (1976),
,Balaenoptera_musculus,Blue_wet,Blue,U,N,wet,U,16,23,,Krogh (1934) in Lockyer (1976),
,Balaenoptera_musculus,Blue_wet,Blue,U,N,wet,U,7,2,,Krogh (1934) in Lockyer (1976),
,Balaenoptera_musculus,Blue_wet,Blue,U,N,wet,U,29.5,163,,Laurie (1933) in Lockyer (1976),
,Balaenoptera_musculus,Blue_wet,Blue,U,N,wet,U,23.7,63,,Andrews (1916) in Lockyer (1976),
H.No.152.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,19.5072,40.298,7.9,Nishiwaki (1950),
N.No.152.F.M.,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,20.4216,45.238,8.938,Nishiwaki (1950),
H.No.284.F.F.,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.0312,51.667,8.338,Nishiwaki (1950),
